Start profiling...
multiconv2d_handin.py:44: UserWarning: torch.range is deprecated and will be removed in a future release because its behavior is inconsistent with Python's range builtin. Instead, use torch.arange, which produces values in [start, end).
  channel0_y=torch.range(y_min,y_max).cuda(0)
multiconv2d_handin.py:46: UserWarning: torch.range is deprecated and will be removed in a future release because its behavior is inconsistent with Python's range builtin. Instead, use torch.arange, which produces values in [start, end).
  channel0_x=torch.range(x_min,x_max).cuda(0)
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Train Epoch: 2 [47360/60000 (79%)]	Loss: 0.488489
Train Epoch: 2 [48000/60000 (80%)]	Loss: 0.236193
Train Epoch: 2 [48640/60000 (81%)]	Loss: 0.351535
Train Epoch: 2 [49280/60000 (82%)]	Loss: 0.095052
Train Epoch: 2 [49920/60000 (83%)]	Loss: 0.205523
Train Epoch: 2 [50560/60000 (84%)]	Loss: 0.209879
Train Epoch: 2 [51200/60000 (85%)]	Loss: 0.236116
Train Epoch: 2 [51840/60000 (86%)]	Loss: 0.246900
Train Epoch: 2 [52480/60000 (87%)]	Loss: 0.125586
Train Epoch: 2 [53120/60000 (88%)]	Loss: 0.075799
Train Epoch: 2 [53760/60000 (90%)]	Loss: 0.232701
Train Epoch: 2 [54400/60000 (91%)]	Loss: 0.344859
Train Epoch: 2 [55040/60000 (92%)]	Loss: 0.177100
Train Epoch: 2 [55680/60000 (93%)]	Loss: 0.148570
Train Epoch: 2 [56320/60000 (94%)]	Loss: 0.165418
Train Epoch: 2 [56960/60000 (95%)]	Loss: 0.351188
Train Epoch: 2 [57600/60000 (96%)]	Loss: 0.305402
Train Epoch: 2 [58240/60000 (97%)]	Loss: 0.193283
Train Epoch: 2 [58880/60000 (98%)]	Loss: 0.209895
Train Epoch: 2 [59520/60000 (99%)]	Loss: 0.223776
5.163263320922852

Test set: Average loss: 0.1594, Accuracy: 9525/10000 (95%)

0.826613187789917
Train Epoch: 3 [0/60000 (0%)]	Loss: 0.218727
Train Epoch: 3 [640/60000 (1%)]	Loss: 0.191523
Train Epoch: 3 [1280/60000 (2%)]	Loss: 0.177434
Train Epoch: 3 [1920/60000 (3%)]	Loss: 0.114079
Train Epoch: 3 [2560/60000 (4%)]	Loss: 0.147639
Train Epoch: 3 [3200/60000 (5%)]	Loss: 0.165000
Train Epoch: 3 [3840/60000 (6%)]	Loss: 0.312594
Train Epoch: 3 [4480/60000 (7%)]	Loss: 0.224863
Train Epoch: 3 [5120/60000 (9%)]	Loss: 0.232210
Train Epoch: 3 [5760/60000 (10%)]	Loss: 0.382736
Train Epoch: 3 [6400/60000 (11%)]	Loss: 0.344843
Train Epoch: 3 [7040/60000 (12%)]	Loss: 0.284448
Train Epoch: 3 [7680/60000 (13%)]	Loss: 0.159546
Train Epoch: 3 [8320/60000 (14%)]	Loss: 0.223684
Train Epoch: 3 [8960/60000 (15%)]	Loss: 0.223661
Train Epoch: 3 [9600/60000 (16%)]	Loss: 0.364691
Train Epoch: 3 [10240/60000 (17%)]	Loss: 0.220415
Train Epoch: 3 [10880/60000 (18%)]	Loss: 0.445937
Train Epoch: 3 [11520/60000 (19%)]	Loss: 0.268946
Train Epoch: 3 [12160/60000 (20%)]	Loss: 0.291644
Train Epoch: 3 [12800/60000 (21%)]	Loss: 0.328648
Train Epoch: 3 [13440/60000 (22%)]	Loss: 0.301195
Train Epoch: 3 [14080/60000 (23%)]	Loss: 0.237007
Train Epoch: 3 [14720/60000 (25%)]	Loss: 0.270551
Train Epoch: 3 [15360/60000 (26%)]	Loss: 0.130073
Train Epoch: 3 [16000/60000 (27%)]	Loss: 0.220053
Train Epoch: 3 [16640/60000 (28%)]	Loss: 0.177185
Train Epoch: 3 [17280/60000 (29%)]	Loss: 0.295862
Train Epoch: 3 [17920/60000 (30%)]	Loss: 0.191662
Train Epoch: 3 [18560/60000 (31%)]	Loss: 0.319771
Train Epoch: 3 [19200/60000 (32%)]	Loss: 0.280951
Train Epoch: 3 [19840/60000 (33%)]	Loss: 0.291885
Train Epoch: 3 [20480/60000 (34%)]	Loss: 0.129693
Train Epoch: 3 [21120/60000 (35%)]	Loss: 0.397293
Train Epoch: 3 [21760/60000 (36%)]	Loss: 0.293691
Train Epoch: 3 [22400/60000 (37%)]	Loss: 0.126921
Train Epoch: 3 [23040/60000 (38%)]	Loss: 0.198777
Train Epoch: 3 [23680/60000 (39%)]	Loss: 0.119749
Train Epoch: 3 [24320/60000 (41%)]	Loss: 0.265532
Train Epoch: 3 [24960/60000 (42%)]	Loss: 0.287669
Train Epoch: 3 [25600/60000 (43%)]	Loss: 0.314638
Train Epoch: 3 [26240/60000 (44%)]	Loss: 0.407601
Train Epoch: 3 [26880/60000 (45%)]	Loss: 0.145473
Train Epoch: 3 [27520/60000 (46%)]	Loss: 0.132735
Train Epoch: 3 [28160/60000 (47%)]	Loss: 0.182281
Train Epoch: 3 [28800/60000 (48%)]	Loss: 0.200643
Train Epoch: 3 [29440/60000 (49%)]	Loss: 0.120422
Train Epoch: 3 [30080/60000 (50%)]	Loss: 0.208146
Train Epoch: 3 [30720/60000 (51%)]	Loss: 0.125951
Train Epoch: 3 [31360/60000 (52%)]	Loss: 0.350630
Train Epoch: 3 [32000/60000 (53%)]	Loss: 0.226821
Train Epoch: 3 [32640/60000 (54%)]	Loss: 0.189810
Train Epoch: 3 [33280/60000 (55%)]	Loss: 0.176831
Train Epoch: 3 [33920/60000 (57%)]	Loss: 0.381439
Train Epoch: 3 [34560/60000 (58%)]	Loss: 0.351636
Train Epoch: 3 [35200/60000 (59%)]	Loss: 0.360680
Train Epoch: 3 [35840/60000 (60%)]	Loss: 0.303103
Train Epoch: 3 [36480/60000 (61%)]	Loss: 0.185783
Train Epoch: 3 [37120/60000 (62%)]	Loss: 0.147381
Train Epoch: 3 [37760/60000 (63%)]	Loss: 0.274896
Train Epoch: 3 [38400/60000 (64%)]	Loss: 0.516347
