Start profiling...
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Train Epoch: 3 [51200/60000 (85%)]	Loss: 0.053339
Train Epoch: 3 [51840/60000 (86%)]	Loss: 0.032652
Train Epoch: 3 [52480/60000 (87%)]	Loss: 0.143033
Train Epoch: 3 [53120/60000 (88%)]	Loss: 0.152123
Train Epoch: 3 [53760/60000 (90%)]	Loss: 0.043476
Train Epoch: 3 [54400/60000 (91%)]	Loss: 0.058459
Train Epoch: 3 [55040/60000 (92%)]	Loss: 0.071084
Train Epoch: 3 [55680/60000 (93%)]	Loss: 0.036418
Train Epoch: 3 [56320/60000 (94%)]	Loss: 0.051588
Train Epoch: 3 [56960/60000 (95%)]	Loss: 0.058671
Train Epoch: 3 [57600/60000 (96%)]	Loss: 0.075868
Train Epoch: 3 [58240/60000 (97%)]	Loss: 0.032572
Train Epoch: 3 [58880/60000 (98%)]	Loss: 0.042981
Train Epoch: 3 [59520/60000 (99%)]	Loss: 0.182282

Test set: Average loss: 0.0335, Accuracy: 9882/10000 (99%)

Train Epoch: 4 [0/60000 (0%)]	Loss: 0.089319
Train Epoch: 4 [640/60000 (1%)]	Loss: 0.062161
Train Epoch: 4 [1280/60000 (2%)]	Loss: 0.030587
Train Epoch: 4 [1920/60000 (3%)]	Loss: 0.006188
