Start profiling...
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Train Epoch: 2 [43520/60000 (72%)]	Loss: 0.100561
Train Epoch: 2 [44160/60000 (74%)]	Loss: 0.069595
Train Epoch: 2 [44800/60000 (75%)]	Loss: 0.155606
Train Epoch: 2 [45440/60000 (76%)]	Loss: 0.025309
Train Epoch: 2 [46080/60000 (77%)]	Loss: 0.042290
Train Epoch: 2 [46720/60000 (78%)]	Loss: 0.161285
Train Epoch: 2 [47360/60000 (79%)]	Loss: 0.285366
Train Epoch: 2 [48000/60000 (80%)]	Loss: 0.071999
Train Epoch: 2 [48640/60000 (81%)]	Loss: 0.086198
Train Epoch: 2 [49280/60000 (82%)]	Loss: 0.071237
Train Epoch: 2 [49920/60000 (83%)]	Loss: 0.129740
Train Epoch: 2 [50560/60000 (84%)]	Loss: 0.149403
Train Epoch: 2 [51200/60000 (85%)]	Loss: 0.072254
Train Epoch: 2 [51840/60000 (86%)]	Loss: 0.120605
Train Epoch: 2 [52480/60000 (87%)]	Loss: 0.036970
Train Epoch: 2 [53120/60000 (88%)]	Loss: 0.238090
Train Epoch: 2 [53760/60000 (90%)]	Loss: 0.330278
Train Epoch: 2 [54400/60000 (91%)]	Loss: 0.093601
Train Epoch: 2 [55040/60000 (92%)]	Loss: 0.011983
Train Epoch: 2 [55680/60000 (93%)]	Loss: 0.114476
Train Epoch: 2 [56320/60000 (94%)]	Loss: 0.015651
Train Epoch: 2 [56960/60000 (95%)]	Loss: 0.072476
Train Epoch: 2 [57600/60000 (96%)]	Loss: 0.021370
Train Epoch: 2 [58240/60000 (97%)]	Loss: 0.182257
Train Epoch: 2 [58880/60000 (98%)]	Loss: 0.150882
Train Epoch: 2 [59520/60000 (99%)]	Loss: 0.069501

Test set: Average loss: 0.0400, Accuracy: 9852/10000 (99%)

Train Epoch: 3 [0/60000 (0%)]	Loss: 0.026007
Train Epoch: 3 [640/60000 (1%)]	Loss: 0.029447
Train Epoch: 3 [1280/60000 (2%)]	Loss: 0.050299
Train Epoch: 3 [1920/60000 (3%)]	Loss: 0.013664
Train Epoch: 3 [2560/60000 (4%)]	Loss: 0.014610
Train Epoch: 3 [3200/60000 (5%)]	Loss: 0.093829
Train Epoch: 3 [3840/60000 (6%)]	Loss: 0.018329
Train Epoch: 3 [4480/60000 (7%)]	Loss: 0.249944
Train Epoch: 3 [5120/60000 (9%)]	Loss: 0.040155
Train Epoch: 3 [5760/60000 (10%)]	Loss: 0.071956
Train Epoch: 3 [6400/60000 (11%)]	Loss: 0.059797
Train Epoch: 3 [7040/60000 (12%)]	Loss: 0.115149
Train Epoch: 3 [7680/60000 (13%)]	Loss: 0.059839
Train Epoch: 3 [8320/60000 (14%)]	Loss: 0.006220
Train Epoch: 3 [8960/60000 (15%)]	Loss: 0.132268
Train Epoch: 3 [9600/60000 (16%)]	Loss: 0.050786
Train Epoch: 3 [10240/60000 (17%)]	Loss: 0.013102
