Start profiling...
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Train Epoch: 3 [39040/60000 (65%)]	Loss: 0.014543
Train Epoch: 3 [39680/60000 (66%)]	Loss: 0.079034
Train Epoch: 3 [40320/60000 (67%)]	Loss: 0.010380
Train Epoch: 3 [40960/60000 (68%)]	Loss: 0.019859
Train Epoch: 3 [41600/60000 (69%)]	Loss: 0.100728
Train Epoch: 3 [42240/60000 (70%)]	Loss: 0.048570
Train Epoch: 3 [42880/60000 (71%)]	Loss: 0.045054
Train Epoch: 3 [43520/60000 (72%)]	Loss: 0.194541
Train Epoch: 3 [44160/60000 (74%)]	Loss: 0.052846
Train Epoch: 3 [44800/60000 (75%)]	Loss: 0.015366
Train Epoch: 3 [45440/60000 (76%)]	Loss: 0.039753
Train Epoch: 3 [46080/60000 (77%)]	Loss: 0.090600
Train Epoch: 3 [46720/60000 (78%)]	Loss: 0.014028
Train Epoch: 3 [47360/60000 (79%)]	Loss: 0.053320
Train Epoch: 3 [48000/60000 (80%)]	Loss: 0.022491
Train Epoch: 3 [48640/60000 (81%)]	Loss: 0.028036
Train Epoch: 3 [49280/60000 (82%)]	Loss: 0.033665
Train Epoch: 3 [49920/60000 (83%)]	Loss: 0.148745
Train Epoch: 3 [50560/60000 (84%)]	Loss: 0.041271
Train Epoch: 3 [51200/60000 (85%)]	Loss: 0.011240
Train Epoch: 3 [51840/60000 (86%)]	Loss: 0.113958
Train Epoch: 3 [52480/60000 (87%)]	Loss: 0.004464
Train Epoch: 3 [53120/60000 (88%)]	Loss: 0.079345
Train Epoch: 3 [53760/60000 (90%)]	Loss: 0.056775
Train Epoch: 3 [54400/60000 (91%)]	Loss: 0.060167
Train Epoch: 3 [55040/60000 (92%)]	Loss: 0.083440
Train Epoch: 3 [55680/60000 (93%)]	Loss: 0.045926
Train Epoch: 3 [56320/60000 (94%)]	Loss: 0.108982
Train Epoch: 3 [56960/60000 (95%)]	Loss: 0.014768
